Actual Customers,ship_street,ship_city,ship_state,ship_postcode
Farmhouse Artisan Market,1333 Mcdowell BLVD N,Petaluma,CA,94954
Fireplace Management Incorporated,1041 F St.  STE A,Arcata,CA,95521
FYLT Delivery,1035 22nd Ave,Oakland,CA,94606
Skunkmasters New Location,233 CHANNEL ISLANDS BLVD,Port Hueneme,CA,93041
Livity,"5000 Valley West BLVD, Suite 9",Arcata,CA,95521
SkunkMasters,233 E CHANNEL ISLAND BLVD,Port Hueneme,CA,93041
Cookies Modesto,1944 W. Orangeburg Ave,Modesto,CA,95350
Cookies SF,1685 Haight St.,San Francisco,CA,94117
The Country Club,"3525 Redwood Dr, Ste A",Redway,CA,95560
Heart of the Emerald,103 5th Street,Eureka,CA,95501
Proper Wellness Center,517 5th Street,Eureka,CA,95501
Dr. Green Thumbs Humboldt,1672 Myrtle Ave,Eureka,CA,95501
The Humboldt County Collective,1670 Myrtle Avenue Ste. B,Eureka,CA,95501
All About Wellness,1900 19th ST.,SACRAMENTO,CA,95811
Kush Pharm,16770 stagg street,VAN NUYS,CA,91406
Mount Shasta Patients Collective,408 S Mt. Shasta Blvd,Mt. Shasta,CA,96067
Blue Mountain Collective,692 Marshall Ave Suite A,San Andreas,CA,95249
Compassionate Heart Mutual Benefit Association,190 kuki lane,ukiah,CA,95482
Herban Delivery Oakland,414 Lesser Street,Oakland,CA,94601
Sparc Dutton,975 Corporate Center Parkway,Santa Rosa,CA,95407
HPRC,980 6th Street,Arcata,CA,95503
Cookies Redding,1700 Cypress Ave E,Redding,CA,96002
Silverstreak Solutions,241 N 10th Street,Sacramento,CA,95811
Life enhancement services,1966 Broadway st,Vallejo,CA,94589
California Street Cannabis Company,1398 California St,San Francisco,CA,94109
STIIIZY DTLA,718 COMMERCIAL ST,LOS ANGELES,CA,90012
VHHC,539 Tennessee St,Vallejo,CA,94590
The Honest Choice,4701 main st,Denair,CA,95316
Curing Hands,8880 elder creek road suite 165,sacramento,CA,95828
Flavors,2213 Patterson,Riverbank,CA,95361
High Grade Retail Ventures (Packs),3706 E Hammer Ln,Stockton,CA,95212
PCF (Patient Care First),1442 Angie Ave,Modesto,CA,95351
"Blue Fire, INC",1975 W Olive Ave,Merced,CA,95348
"Phenos Cooperative, INC",1234 Mchenry Ave,Modesto,CA,95350
CHAI Castroville,10665 Merritt Street,Castroville,CA,95012
CHAI Cannabis Co Santa Cruz,3088 Winkle Ave Suite C,Santa Cruz,CA,95065
Sundial Collective,827 Twin view blvd,redding,CA,96002
"Humboldt Harvest, Inc.",280 Aldergrove RD,Arcata,CA,95521
Mission Organic Center,5258 Mission St,San Francisco,CA,94112
Cannavine,1230 Airport Park Blvd,Ukiah,CA,85482
Doctors Choice,2039 Yosemite  BLVD,Modesto,CA,95354
Cannasseurs Club Noho,11307 Vanowen St.,North Hollywood,CA,91605
Satori Wellness,1551 Nursery Way Suite B,McKinleyville,CA,95519
The Can,306 F Street,Eureka,CA,95501
Infinity Merced,811 Main St W,Merced,CA,95340
Mainstage,2320 Broadway,Sacramento,CA,95894
SafePort Dispensary,353 W Channel Island Blvd,Port Hueneme,CA,93041
The Heart of Humboldt,601 I steet,Arcata,CA,95521
Proper Wellness Rio Dell,116 Wildwood Ave,Rio Dell,CA,95562
Tulare Alternative Healthcare,260 N L Street,Tulare,CA,93274
Synergy,345 Hemsted Dr.,Redding,CA,96002
FLOWER CO.,5560 West end road suite 3,arcata,CA,95521
Sovereign,17555 East Kirtland Way,FORT BRAGG,CA,95437
The Ganjery,1580 Nursery Rd,Mckinleyville,CA,95519
From The Earth - Port Hueneme,2675 N Ventura Rd,Port Hueneme,CA,93041
The Hook,817 Russel Ave,Santa Rosa,CA,95403
Harborside - Oakland,1840 Embarcadero,Oakland,CA,94605
One Log Tree Lounge,705 US 101,Garberville,CA,95542
Harborside San Jose,1365 N 10th St,San Jose,CA,95112
Kushagram Oakland,4535 INTERNATIONAL BLVD,Oakland,CA,94601
Ironworks aka Kushagram Los Angeles,718 E Commercial ST,Los Angeles,CA,90012
Delta Health Wellness,2416 17TH ST,Sacramento,CA,95818
The Roots Dispensary,805 W Laurel,Lompoc,CA,93436
Urban Pharm,122 10th Street,San Francisco,CA,94103
Flower CO.,5560 West end road suite 3,arcata,CA,95521
Northstar Holistic Collective,1236 C Street,Sacramento,CA,95814
DTPG,930 South Alameda Street,Los Angeles,CA,90021
"HAI, Inc.",18306 Eddy St.,Northridge,CA,91325
